"2,,""Micrometru"",""UL"",""ro""";;
"3,,""Milimetru"",""UL"",""ro""";;
"4,,""Centimetru"",""UL"",""ro""";;
"5,,""Decimetru"",""UL"",""ro""";;
"6,,""Metru"",""UL"",""ro""";;
"8,,""Kilometru";" mie metri"",""UL"",""ro""";
"9,,""Megametru"; milion metri;" mie kilometri"",""UL"",""ro"""
"10,,""Parsec"",""UL"",""ro""";;
"18,,""Metru liniar"",""UL"",""ro""";;
"19,,""Mie metri liniari"",""UL"",""ro""";;
"20,,""Metru conventional"",""UL"",""ro""";;
"21,,""Metru liniar sapare"",""UL"",""ro""";;
"22,,""Centimetru liniar"",""UL"",""ro""";;
"23,,""Zece metri liniari"",""UL"",""ro""";;
"39,,""Tol (inci) (25,4 mm)"",""UL"",""ro""";;
"41,,""Picior (0,3048 m)"",""UL"",""ro""";;
"43,,""Yard (0,9144 m)"",""UL"",""ro""";;
"47,,""Mila marina (1852 m)"",""UL"",""ro""";;
"48,,""Mie metri conventio nali"",""UL"",""ro""";;
"49,,""Kilometru conducta conventionala"",""UL"",""ro""";;
"50,,""Milimetru patrat"",""UA"",""ro""";;
"51,,""Centimetru patrat"",""UA"",""ro""";;
"53,,""Decimetru patrat"",""UA"",""ro""";;
"54,,""Mie decimetri patrati"",""UA"",""ro""";;
"55,,""Metru patrat"",""UA"",""ro""";;
"56,,""Milion decimetri patrati"",""UA"",""ro""";;
"57,,""Milion metri patrati"",""UA"",""ro""";;
"58,,""Mie metri patrati"",""UA"",""ro""";;
"59,,""Hectar"",""UA"",""ro""";;
"60,,""Mie hectare"",""UA"",""ro""";;
"61,,""Kilometru patrat"",""UA"",""ro""";;
"62,,""Metru patrat conventional"",""UA"",""ro""";;
"63,,""Mie metri patrati conventionali "",""UA"",""ro""";;
"64,,""Milion metri patrati conventionali"",""UA"",""ro""";;
"71,,""Tol (inci) patrat (645,16 mm2)"",""UA"",""ro""";;
"73,,""Picior patrat (0,092903 m2)"",""UA"",""ro""";;
"75,,""Yard patrat (0,8361274 m2)"",""UA"",""ro""";;
"81,,""Metru patrat arie totala"",""UA"",""ro""";;
