"id","country_code","language_code","data"
"1",MD,RO,"{""id"": ""a356ffb3-6f61-47ac-b440-5caa8876db7a"", ""title"": ""Participare la o organizație criminală"", ""source"": ""tenderer"", ""relatesTo"": ""tenderer"", ""description"": ""Operatorul economic însuși sau orice persoană care este membru al organismului de administrare, de conducere sau de supraveghere al acestuia sau care are putere de reprezentare, de decizie sau de control în cadrul acestuia a făcut obiectul unei condamnări pronunțate printr-o hotărâre definitivă pentru participare la o organizație criminală, printr-o condamnare pronunțată cu cel mult cinci ani în urmă sau în care continuă să se aplice o perioadă de excludere prevăzută în mod direct în condamnare?"", ""classification"": {""id"": ""CRITERION.EXCLUSION.CONVICTIONS.PARTICIPATION_IN_CRIMINAL_ORGANISATION"", ""scheme"": ""ESPD-2.2.1""}, ""requirementGroups"": [{""id"": ""13a82aec-3b4b-4c6c-b635-390371a6c7d5"", ""requirements"": [{""id"": ""805f85da-5151-4b15-9cff-736f13c8c363"", ""title"": ""Da"", ""dataType"": ""boolean"", ""expectedValue"": true}]}, {""id"": ""90d76260-082f-4821-8462-06705e1d84fd"", ""requirements"": [{""id"": ""03ce4587-f5df-48ca-be8d-be6da31a68ad"", ""title"": ""Nu"", ""dataType"": ""boolean"", ""expectedValue"": false}]}]}"
"2",MD,RO,"{""id"": ""ecbb79b1-e0d5-40ed-9c3f-bdc63780a4f2"", ""title"": ""Corupție"", ""source"": ""tenderer"", ""relatesTo"": ""tenderer"", ""description"": ""Operatorul economic însuși sau orice persoană care este membru al organismului de administrare, de conducere sau de supraveghere al acestuia sau care are putere de reprezentare, de decizie sau de control în cadrul acestuia a făcut obiectul unei condamnări pentru corupție pronunțate printr-o hotărâre definitivă, printr-o condamnare pronunțată cu cel mult cinci ani în urmă sau în care continuă să se aplice o perioadă de excludere prevăzută în mod direct în condamnare?"", ""classification"": {""id"": ""CRITERION.EXCLUSION.CONVICTIONS.CORRUPTION"", ""scheme"": ""ESPD-2.2.1""}, ""requirementGroups"": [{""id"": ""ac3d03c4-4752-46e2-b2f0-cf21fdff9e49"", ""requirements"": [{""id"": ""a290a549-d9a1-40ec-a3eb-7771949e611d"", ""title"": ""Da"", ""dataType"": ""boolean"", ""expectedValue"": true}]}, {""id"": ""1fa447be-dc3b-4a1e-b931-f908ba827eef"", ""requirements"": [{""id"": ""16853c60-e701-4def-aa2b-8c9499ef01ec"", ""title"": ""Nu"", ""dataType"": ""boolean"", ""expectedValue"": false}]}]}"
"3",MD,RO,"{""id"": ""2853b7c0-0720-43ac-8490-a1ded14dc691"", ""title"": ""Fraude"", ""source"": ""tenderer"", ""relatesTo"": ""tenderer"", ""description"": ""Operatorul economic însuși sau orice persoană care este membru al organismului de administrare, de conducere sau de supraveghere al acestuia sau care are putere de reprezentare, de decizie sau de control în cadrul acestuia a făcut obiectul unei condamnări pentru fraudă pronunțate printr-o hotărâre definitivă, printr-o condamnare pronunțată cu cel mult cinci ani în urmă sau în care continuă să se aplice o perioadă de excludere prevăzută în mod direct în condamnare?"", ""classification"": {""id"": ""CRITERION.EXCLUSION.CONVICTIONS.FRAUD"", ""scheme"": ""ESPD-2.2.1""}, ""requirementGroups"": [{""id"": ""100b4567-75c3-4932-907c-bfd7452e11bf"", ""requirements"": [{""id"": ""348858fd-d6bd-4b75-a8c4-5b296a97c8f7"", ""title"": ""Da"", ""dataType"": ""boolean"", ""expectedValue"": true}]}, {""id"": ""f5a620d5-c013-408f-bfb6-6c94e14a2070"", ""requirements"": [{""id"": ""724cd374-264a-401f-8407-f58e6b978dd0"", ""title"": ""Nu"", ""dataType"": ""boolean"", ""expectedValue"": false}]}]}"
"4",MD,RO,"{""id"": ""e1454803-fa8b-4c6b-bab7-4dcc14cbd362"", ""title"": ""Infracțiuni teroriste sau infracțiuni legate de activitățile teroriste"", ""source"": ""tenderer"", ""relatesTo"": ""tenderer"", ""description"": ""Operatorul economic însuși sau orice persoană care este membru al organismului de administrare, de conducere sau de supraveghere al acestuia sau care are putere de reprezentare, de decizie sau de control în cadrul acestuia a făcut obiectul unei condamnări pentru infracțiuni teroriste sau infracțiuni legate de activități teroriste, pronunțate printr-o hotărâre definitivă, printr-o condamnare pronunțată cu cel mult cinci ani în urmă sau în care continuă să se aplice o perioadă de excludere prevăzută în mod direct în condamnare?"", ""classification"": {""id"": ""CRITERION.EXCLUSION.CONVICTIONS.TERRORIST_OFFENCES"", ""scheme"": ""ESPD-2.2.1""}, ""requirementGroups"": [{""id"": ""da11ab13-db53-465d-a024-8b66c34a7479"", ""requirements"": [{""id"": ""a225d1ab-fbe3-4fbc-b301-4155e0dac630"", ""title"": ""Da"", ""dataType"": ""boolean"", ""expectedValue"": true}]}, {""id"": ""d8522546-c3e6-40fe-b378-2f9467ae55ae"", ""requirements"": [{""id"": ""b73827c9-1b44-4eb2-8c93-4cbc928f3807"", ""title"": ""Nu"", ""dataType"": ""boolean"", ""expectedValue"": false}]}]}"
"5",MD,RO,"{""id"": ""c3a1dde9-3ddd-42c6-8db9-4e790b9c5d06"", ""title"": ""Spălare de bani sau finanțarea terorismului"", ""source"": ""tenderer"", ""relatesTo"": ""tenderer"", ""description"": ""Operatorul economic însuși sau orice persoană care este membru al organismului de administrare, de conducere sau de supraveghere al acestuia sau care are putere de reprezentare, de decizie sau de control în cadrul acestuia a făcut obiectul unei condamnări pentru infracțiuni teroriste sau infracțiuni legate de activități teroriste, pronunțate printr-o hotărâre definitivă, printr-o condamnare pronunțată cu cel mult cinci ani în urmă sau în care continuă să se aplice o perioadă de excludere prevăzută în mod direct în condamnare?"", ""classification"": {""id"": ""CRITERION.EXCLUSION.CONVICTIONS.MONEY_LAUNDERING"", ""scheme"": ""ESPD-2.2.1""}, ""requirementGroups"": [{""id"": ""fff6f9b0-c7b4-498c-a10e-9e2a07c4fee9"", ""requirements"": [{""id"": ""7738ee78-ff9b-4458-ae32-62dca62493a6"", ""title"": ""Da"", ""dataType"": ""boolean"", ""expectedValue"": true}]}, {""id"": ""c20b4b85-118c-41c9-8cd3-1fc64fd2e7cc"", ""requirements"": [{""id"": ""e28a5c20-8629-42ed-9dfc-d9f4dba8aac0"", ""title"": ""Nu"", ""dataType"": ""boolean"", ""expectedValue"": false}]}]}"
"6",MD,RO,"{""id"": ""83384087-2af1-4d43-9649-76ae8cc3c04a"", ""title"": ""Exploatarea prin muncă a copiilor și alte forme de trafic de persoane"", ""source"": ""tenderer"", ""relatesTo"": ""tenderer"", ""description"": ""Operatorul economic însuși sau orice persoană care este membru al organismului de administrare, de conducere sau de supraveghere al acestuia sau care are putere de reprezentare, de decizie sau de control în cadrul acestuia a făcut obiectul unei condamnări pronunțate printr-o hotărâre definitivă pentru exploatare prin muncă a copiilor și alte forme de trafic de persoane, printr-o condamnare pronunțată cu cel mult cinci ani în urmă sau în care continuă să se aplice o perioadă de excludere prevăzută în mod direct în condamnare?"", ""classification"": {""id"": ""CRITERION.EXCLUSION.CONVICTIONS.CHILD_LABOUR-HUMAN_TRAFFICKING"", ""scheme"": ""ESPD-2.2.1""}, ""requirementGroups"": [{""id"": ""67007115-def8-43b8-9b37-f042850a0e38"", ""requirements"": [{""id"": ""f12fb40a-caeb-42f3-80a3-0a9f9189ab5f"", ""title"": ""Da"", ""dataType"": ""boolean"", ""expectedValue"": true}]}, {""id"": ""ae0c9c57-2887-4273-9b0f-6c6368909c5e"", ""requirements"": [{""id"": ""611ef726-6f89-44ed-9e14-2c5a51bca16b"", ""title"": ""Nu"", ""dataType"": ""boolean"", ""expectedValue"": false}]}]}"
"7",MD,RO,"{""id"": ""dbc990ac-6143-449c-a392-748c7302da5e"", ""title"": ""Plata impozitelor"", ""source"": ""tenderer"", ""relatesTo"": ""tenderer"", ""description"": ""Operatorul economic și-a onorat obligațiile cu privire la plata impozitelor, taxelor și contribuțiilor sociale în conformitate cu prevederile legale în vigoare în Republica Moldova sau în țara în care este stabilit?"", ""classification"": {""id"": ""CRITERION.EXCLUSION.CONTRIBUTIONS.PAYMENT_OF_TAXES"", ""scheme"": ""ESPD-2.2.1""}, ""requirementGroups"": [{""id"": ""1dce981e-a98f-4e9d-bbdd-a734eba61280"", ""requirements"": [{""id"": ""69ffd9e5-436c-426e-8b2c-e7588db581b7"", ""title"": ""Da"", ""dataType"": ""boolean"", ""expectedValue"": true}]}, {""id"": ""1279ee54-27de-46c9-97ff-1aaff9aabe05"", ""requirements"": [{""id"": ""d280a6ba-251a-4487-abf5-a9b0412f3054"", ""title"": ""Nu"", ""dataType"": ""boolean"", ""expectedValue"": false}, {""id"": ""780d19cb-f889-4702-891f-a2c11cdd3adc"", ""title"": ""Operatorul economic este în măsură să furnizeze un certificat cu privire la plata impozitelor sau să furnizeze informații privind onorarea obligațiilor fiscale?"", ""dataType"": ""boolean""}]}]}"
"8",MD,RO,"{""id"": ""668b246f-1b88-41f9-930b-1dcf2066a1cf"", ""title"": ""Includerea în lista de interdicție a operatorilor economici"", ""source"": ""tenderer"", ""relatesTo"": ""tenderer"", ""description"": ""Operatorul economic este înscris în lista de interdicție a operatorilor economici?"", ""classification"": {""id"": ""CRITERION.EXCLUSION.NATIONAL.OTHER"", ""scheme"": ""ESPD-2.2.1""}, ""requirementGroups"": [{""id"": ""2e6a8209-a75b-4088-9c01-d1ccaf128e1f"", ""requirements"": [{""id"": ""878cfdcd-4f97-4b9f-9a6c-a7870f9055c8"", ""title"": ""Da"", ""dataType"": ""boolean"", ""expectedValue"": true}, {""id"": ""73e6f4d9-1900-4df6-b4df-51cb964fa152"", ""title"": ""Dacă Da, descrieți aceste măsuri"", ""dataType"": ""string""}]}, {""id"": ""493e342f-c6d2-43aa-8009-c352b6350408"", ""requirements"": [{""id"": ""6ca93949-c0ab-4cff-898f-07594631b185"", ""title"": ""Nu"", ""dataType"": ""boolean"", ""expectedValue"": false}]}]}"
"9",MD,RO,"{""id"": ""95df456d-bf5a-479c-aaff-3f7ac3b78ed4"", ""title"": ""Obligațiile aplicabile în domeniul mediului"", ""source"": ""tenderer"", ""relatesTo"": ""tenderer"", ""description"": ""Operatorul economic a încălcat obligațiile în domeniul mediului în ultimii 3 ani?"", ""classification"": {""id"": ""CRITERION.EXCLUSION.SOCIAL.ENVIRONMENTAL_LAW"", ""scheme"": ""ESPD-2.2.1""}, ""requirementGroups"": [{""id"": ""678b1335-e7c7-4d4a-a3e4-2b89cfcf4c3d"", ""requirements"": [{""id"": ""595c34d2-a325-4cc4-bfba-7b4463fd96d8"", ""title"": ""Da"", ""dataType"": ""boolean"", ""expectedValue"": true}, {""id"": ""5fc263c0-f34c-43ab-962a-9484b1a1cc6a"", ""title"": ""În cazul că răspunsul este Da pentru întrebarea 3D.1, puteți furniza dovezi care să arate că măsurile luate sunt suficiente pentru a demonstra fiabilitatea, în pofida existenței unui motiv de excludere?"", ""dataType"": ""boolean""}]}, {""id"": ""624bbfc5-70a3-4690-8afb-5d6bc0475de8"", ""requirements"": [{""id"": ""390ec1c0-828b-4f47-acdd-aabb452e0aca"", ""title"": ""Nu"", ""dataType"": ""boolean"", ""expectedValue"": false}]}]}"
"10",MD,RO,"{""id"": ""ee1f0a27-2ae4-4cdd-8c1b-5bc9e42fc2d8"", ""title"": ""Obligațiile aplicabile în asigurărilor sociale"", ""source"": ""tenderer"", ""relatesTo"": ""tenderer"", ""description"": ""Operatorul economic a încălcat obligațiile în domeniul social în ultimii 3 ani?"", ""classification"": {""id"": ""CRITERION.EXCLUSION.SOCIAL.SOCIAL_LAW"", ""scheme"": ""ESPD-2.2.1""}, ""requirementGroups"": [{""id"": ""e39d0b2f-de81-4c36-ab23-61ebc64931f5"", ""requirements"": [{""id"": ""0b9d2120-b92e-4cd6-87eb-b33a58946e4f"", ""title"": ""Da"", ""dataType"": ""boolean"", ""expectedValue"": true}, {""id"": ""485d26bd-8df7-4068-ab35-7eae6de5c57a"", ""title"": ""În cazul că răspunsul este Da pentru întrebarea 3D.2, puteți furniza dovezi care să arate că măsurile luate sunt suficiente pentru a demonstra fiabilitatea, în pofida existenței unui motiv de excludere?"", ""dataType"": ""boolean""}]}, {""id"": ""32d9b96a-a4b5-43ec-a8df-d8adb7656512"", ""requirements"": [{""id"": ""76d7c9f2-792d-49b9-bec7-31410fb8bad1"", ""title"": ""Nu"", ""dataType"": ""boolean"", ""expectedValue"": false}]}]}"
